x,y,class
0.05,0.69,0
-0.09,0.68,1
-0.21,0.69,1
-0.37,0.50,1
-0.51,0.46,1
-0.52,0.20,1
-0.39,0.03,1
-0.30,-0.09,1
0.01,-0.40,1
0.13,-0.51,1
0.38,-0.56,1
0.52,-0.52,1
0.68,-0.24,1
0.73,-0.18,1
0.54,0.48,1
0.32,0.58,0
0.16,0.23,0
-0.04,0.81,1
-0.17,0.49,1
-0.47,0.63,1
-0.60,0.59,0
-0.82,0.33,1
-0.69,0.10,0
-0.42,-0.37,0
-0.11,-0.39,1
0.20,-0.60,1
0.46,-0.53,1
0.67,-0.53,1
-0.13,0.54,1
-0.29,0.77,1
-0.26,0.96,0
-0.16,0.80,1
-0.17,0.64,1
-0.28,0.47,1
-0.36,0.31,1
-0.30,0.02,1
-0.23,-0.11,1
-0.06,-0.18,1
0.06,-0.16,1
0.22,-0.41,1
0.29,-0.22,1
0.48,-0.18,1
0.64,-0.14,1
0.46,0.01,1
0.62,0.15,0
0.57,0.46,1
0.72,0.44,0
0.22,0.52,0
0.44,0.67,1
0.32,0.69,0
0.13,0.57,0
-0.00,0.39,1
-0.09,0.55,1
-0.20,0.35,1
-0.20,0.17,1
-0.43,0.21,1
-0.21,-0.01,1
-0.13,-0.27,1
0.18,0.93,0
0.22,0.77,0
0.29,0.61,0
0.50,0.75,0
0.61,0.72,0
0.60,0.59,0
0.76,0.50,0
0.92,0.36,0
0.82,0.27,0
0.96,0.08,0
0.93,0.01,0
0.86,-0.08,0
0.89,-0.20,0
0.85,-0.36,0
0.82,-0.52,0
0.79,-0.55,0
0.59,-0.74,0
0.51,-0.59,0
0.46,-0.41,1
0.35,-0.57,1
0.28,-0.76,0
0.08,-0.75,1
0.14,-0.57,1
-0.13,-0.44,1
-0.40,-0.41,0
-0.29,-0.31,0
-0.28,-0.33,0
-0.27,-0.34,0
-0.74,-0.25,0
-0.69,0.04,0
-0.90,0.29,1
-0.69,0.68,0
-0.40,0.70,1
-0.38,0.91,0
-0.50,0.90,0
-0.54,0.70,0
0.10,0.77,0
0.05,0.91,0
-0.10,0.99,0
-0.08,1.10,0
0.28,1.08,0
0.39,0.82,0
0.63,0.88,0
0.82,0.66,0
0.67,0.64,0
1.07,0.10,0
-0.04,-0.57,0
-0.23,-0.63,0
-0.15,-0.36,1
-0.49,-0.30,0
-0.55,-0.03,1
-0.50,-0.23,1
-0.28,-0.06,1
-0.71,-0.06,0
-0.66,-0.21,0
-0.59,-0.41,0
-0.72,-0.08,0
-0.73,0.31,0
-0.72,0.53,0
-0.59,0.49,0
-0.48,0.99,0
-0.00,0.99,0
0.63,-0.03,1
