x1,x2,y
0.10714,0.60307,1
0.09332,0.64985,1
0.09793,0.70541,1
0.15553,0.78436,1
0.21083,0.86623,1
0.32834,0.92909,1
0.42972,0.93494,1
0.62097,0.93494,1
0.75691,0.91009,1
0.81912,0.87939,1
0.80991,0.83699,1
0.75000,0.81944,1
0.77304,0.85453,1
0.77074,0.88962,1
0.76613,0.89985,1
0.77995,0.83553,1
0.75000,0.79167,1
0.76152,0.76535,1
0.81452,0.83260,1
0.81452,0.88523,1
0.56336,0.92178,1
0.49424,0.89985,1
0.48041,0.86330,1
0.44816,0.81944,1
0.42512,0.85746,1
0.45046,0.89985,1
0.51037,0.93786,1
0.49885,0.94517,1
0.35138,0.93494,1
0.27304,0.90132,1
0.23387,0.86184,1
0.21544,0.85892,1
0.13479,0.86184,1
0.07488,0.87208,1
0.05876,0.87208,1
0.10023,0.83845,1
0.12097,0.83114,1
0.13249,0.81360,1
0.13710,0.77412,1
0.11636,0.74927,1
0.10484,0.72734,1
0.10714,0.69956,1
0.09101,0.65424,1
0.06797,0.63377,1
0.06797,0.62354,1
0.09332,0.58553,1
0.16244,0.57968,1
0.17857,0.59576,1
0.14401,0.64254,1
0.10945,0.64547,1
0.14631,0.70395,1
0.14862,0.74196,1
0.16014,0.77705,1
0.12327,0.79167,1
0.10484,0.81506,1
0.08180,0.82383,1
0.05876,0.88231,1
0.09562,0.89401,1
0.14401,0.88962,1
0.16936,0.86477,1
0.16475,0.84430,1
0.11866,0.83991,1
0.16244,0.88377,1
0.23617,0.89985,1
0.27765,0.93640,1
0.29839,0.95541,1
0.33756,0.96126,1
0.34217,0.95833,1
0.29378,0.93348,1
0.25922,0.92471,1
0.25230,0.94225,1
0.21313,0.92178,1
0.20392,0.89108,1
0.19240,0.88085,1
0.36290,0.96126,1
0.41820,0.96418,1
0.42972,0.96710,1
0.39055,0.94225,1
0.39055,0.93640,1
0.41820,0.92325,1
0.41359,0.90132,1
0.41129,0.88816,1
0.45737,0.86477,1
0.46659,0.84868,1
0.50806,0.90716,1
0.52189,0.92763,1
0.43433,0.93348,1
0.44816,0.95833,1
0.46429,0.97295,1
0.50806,0.95687,1
0.52419,0.93494,1
0.56797,0.92763,1
0.58641,0.95541,1
0.59101,0.95833,1
0.62558,0.95249,1
0.66244,0.94956,1
0.69009,0.93640,1
0.68318,0.92325,1
0.74078,0.91886,1
0.76613,0.91447,1
0.71544,0.89254,1
0.72926,0.88962,1
0.74539,0.87500,1
0.73848,0.85015,1
0.73848,0.83991,1
0.77995,0.81652,1
0.80530,0.79898,1
0.79608,0.79021,1
0.78226,0.76389,1
0.76613,0.75658,1
0.72005,0.84284,1
0.73848,0.88962,1
0.74078,0.92325,1
0.71544,0.93933,1
0.67627,0.94079,1
0.63710,0.92178,1
0.68088,0.91594,1
0.74078,0.91594,1
0.75691,0.93786,1
0.77765,0.95102,1
0.83295,0.91886,1
0.77995,0.87208,1
0.77765,0.85307,1
0.77074,0.92617,1
0.67166,0.95541,1
0.57488,0.94664,1
0.54493,0.92909,1
0.50346,0.91447,1
0.44355,0.92325,1
0.39055,0.93056,1
0.33756,0.92617,1
0.36982,0.92325,1
0.43664,0.91009,1
0.53571,0.95979,1
0.45737,0.95979,1
0.42281,0.93933,1
0.40899,0.90570,1
0.36751,0.90863,1
0.31452,0.92032,1
0.33295,0.92471,1
0.45737,0.92325,1
0.50806,0.91447,1
0.47350,0.94956,1
0.53802,0.96272,1
0.69700,0.95541,1
0.75000,0.95102,1
0.80069,0.91301,1
0.82373,0.86477,1
0.71083,0.86184,1
0.70161,0.88670,1
0.63710,0.91009,1
0.59332,0.91740,1
0.56336,0.91740,1
0.54032,0.91009,1
0.51037,0.88377,1
0.50115,0.86330,1
0.48041,0.84137,1
0.43203,0.85599,1
0.40438,0.87646,1
0.36521,0.89839,1
0.31452,0.89839,1
0.27765,0.89547,1
0.26382,0.89108,1
