mpg,cyl,displacement,hp,weight,acc,year,name
18.0,8,307.0,130.0,3504.0,12.0,70,chevrolet chevelle malibu
15.0,8,350.0,165.0,3693.0,11.5,70,buick skylark 320
18.0,8,318.0,150.0,3436.0,11.0,70,plymouth satellite
16.0,8,304.0,150.0,3433.0,12.0,70,amc rebel sst
17.0,8,302.0,140.0,3449.0,10.5,70,ford torino
15.0,8,429.0,198.0,4341.0,10.0,70,ford galaxie 500
14.0,8,454.0,220.0,4354.0,9.0,70,chevrolet impala
14.0,8,440.0,215.0,4312.0,8.5,70,plymouth fury iii
14.0,8,455.0,225.0,4425.0,10.0,70,pontiac catalina
15.0,8,390.0,190.0,3850.0,8.5,70,amc ambassador dpl
15.0,8,383.0,170.0,3563.0,10.0,70,dodge challenger se
14.0,8,340.0,160.0,3609.0,8.0,70,plymouth 'cuda 340
15.0,8,400.0,150.0,3761.0,9.5,70,chevrolet monte carlo
14.0,8,455.0,225.0,3086.0,10.0,70,buick estate wagon 
24.0,4,113.0,95.00,2372.0,15.0,70,toyota corona mark ii
22.0,6,198.0,95.00,2833.0,15.5,70,plymouth duster
18.0,6,199.0,97.00,2774.0,15.5,70,amc hornet
21.0,6,200.0,85.00,2587.0,16.0,70,ford maverick
27.0,4,97.00,88.00,2130.0,14.5,70,datsun pl510
26.0,4,97.00,46.00,1835.0,20.5,70,volkswagen 1131 deluxe sedan
25.0,4,110.0,87.00,2672.0,17.5,70,peugeot 504
24.0,4,107.0,90.00,2430.0,14.5,70,audi 100 ls
25.0,4,104.0,95.00,2375.0,17.5,70,saab 99e
26.0,4,121.0,113.0,2234.0,12.5,70,bmw 2002
21.0,6,199.0,90.00,2648.0,15.0,70,amc gremlin
10.0,8,360.0,215.0,4615.0,14.0,70,ford f250
10.0,8,307.0,200.0,4376.0,15.0,70,chevy c20
11.0,8,318.0,210.0,4382.0,13.5,70,dodge d200
9.0,8,304.0,193.0,4732.0,18.5,70,harvester international 1200d
27.0,4,97.00,88.00,2130.0,14.5,71,datsun pl510
28.0,4,140.0,90.00,2264.0,15.5,71,chevrolet vega 2300
25.0,4,113.0,95.00,2228.0,14.0,71,toyota corona
19.0,6,232.0,100.0,2634.0,13.0,71,amc gremlin
16.0,6,225.0,105.0,3439.0,15.5,71,plymouth satellite custom
17.0,6,250.0,100.0,3329.0,15.5,71,chevrolet chevelle malibu
19.0,6,250.0,88.00,3302.0,15.5,71,ford torino 500
18.0,6,232.0,100.0,3288.0,15.5,71,amc matador
14.0,8,350.0,165.0,4209.0,12.0,71,chevrolet impala
14.0,8,400.0,175.0,4464.0,11.5,71,pontiac catalina brougham
14.0,8,351.0,153.0,4154.0,13.5,71,ford galaxie 500
14.0,8,318.0,150.0,4096.0,13.0,71,plymouth fury iii
12.0,8,383.0,180.0,4955.0,11.5,71,dodge monaco 
13.0,8,400.0,170.0,4746.0,12.0,71,ford country squire 
13.0,8,400.0,175.0,5140.0,12.0,71,pontiac safari 
18.0,6,258.0,110.0,2962.0,13.5,71,amc hornet sportabout 
22.0,4,140.0,72.00,2408.0,19.0,71,chevrolet vega 
19.0,6,250.0,100.0,3282.0,15.0,71,pontiac firebird
18.0,6,250.0,88.00,3139.0,14.5,71,ford mustang
23.0,4,122.0,86.00,2220.0,14.0,71,mercury capri 2000
28.0,4,116.0,90.00,2123.0,14.0,71,opel 1900
30.0,4,79.00,70.00,2074.0,19.5,71,peugeot 304
30.0,4,88.00,76.00,2065.0,14.5,71,fiat 124b
31.0,4,71.00,65.00,1773.0,19.0,71,toyota corolla 1200
35.0,4,72.00,69.00,1613.0,18.0,71,datsun 1200
27.0,4,97.00,60.00,1834.0,19.0,71,volkswagen model 111
26.0,4,91.00,70.00,1955.0,20.5,71,plymouth cricket
24.0,4,113.0,95.00,2278.0,15.5,72,toyota corona hardtop
25.0,4,97.50,80.00,2126.0,17.0,72,dodge colt hardtop
23.0,4,97.00,54.00,2254.0,23.5,72,volkswagen type 3
20.0,4,140.0,90.00,2408.0,19.5,72,chevrolet vega
21.0,4,122.0,86.00,2226.0,16.5,72,ford pinto runabout
